PT08.S1(CO),T,RH,AH
1297,16.9,54.8,1.0455
1110,16.3,57.2,1.0492
1027,16.0,56.2,1.0164
1024,15.6,60.2,1.0617
992,14.6,68.2,1.1282
929,14.3,69.6,1.1257
892,13.8,71.9,1.1312
895,13.8,72.7,1.1402
915,14.2,72.3,1.1632
947,14.5,72.9,1.195
1032,14.2,75.6,1.2201
1219,14.5,77.2,1.2695
1217,14.9,74.5,1.253
1097,15.5,67.4,1.178
938,16.7,56.0,1.0544
944,17.1,55.5,1.0724
1139,16.2,62.4,1.1423
1163,17.4,58.9,1.1567
1157,17.5,54.6,1.08
1154,17.5,54.2,1.0722
1342,17.0,55.1,1.0621
1178,16.4,57.8,1.0669
1152,15.8,60.4,1.0744
1078,15.5,63.3,1.1071
1167,15.0,65.2,1.1045
1111,14.5,67.3,1.1054
988,14.1,70.1,1.1224
917,13.8,73.3,1.1518
850,13.1,78.3,1.1716
885,13.0,78.2,1.1664
888,14.3,70.1,1.1328
1101,14.0,70.9,1.1306
1399,15.4,64.2,1.1123
1325,16.5,57.9,1.0826
1058,18.8,48.0,1.0323
990,19.5,43.3,0.9706
1018,18.5,45.5,0.9606
1105,18.0,46.7,0.9569
1194,16.5,58.2,1.0813
1088,12.1,75.6,1.0662
1084,11.1,75.6,0.9974
1207,10.5,79.0,1.0016
1186,10.0,80.5,0.9853
1053,11.3,70.5,0.9389
1032,10.7,71.5,0.9197
989,9.9,74.0,0.9009
930,10.8,68.2,0.8806
951,10.2,74.0,0.9176
985,10.1,77.5,0.9579
937,9.9,77.7,0.9497
887,9.5,80.2,0.9533
806,9.5,79.7,0.9489
771,9.7,78.9,0.9487
802,9.8,80.0,0.967
878,10.0,79.6,0.98
1070,10.3,79.4,0.9927
1430,11.0,77.4,1.0135
1565,12.3,69.2,0.9906
1365,14.5,60.4,0.9936
1348,16.0,56.3,1.0185
1311,18.1,51.1,1.0551
1302,23.0,37.5,1.0389
1250,21.8,39.6,1.0209
1083,21.9,37.2,0.9683
1005,23.8,31.4,0.9132
1129,25.9,26.9,0.8845
1327,25.8,29.9,0.9808
1428,22.6,39.5,1.0679
1426,19.9,45.0,1.0364
1310,17.9,47.4,0.9657
1114,16.8,50.4,0.9545
991,16.0,52.0,0.9375
1089,14.2,59.1,0.952
911,14.2,56.7,0.9111
1005,12.2,67.7,0.9625
863,13.2,61.7,0.9328
857,10.9,71.0,0.9249
804,11.3,67.6,0.9038
871,10.1,71.8,0.888
1035,10.2,70.9,0.8841
1513,11.8,66.0,0.9085
1726,14.0,58.2,0.9271
1396,17.0,50.2,0.9646
1333,22.3,36.9,0.9838
1161,24.4,30.9,0.934
1081,25.9,26.7,0.8771
1075,25.8,26.1,0.854
1055,26.3,24.8,0.8393
1053,27.0,22.2,0.7805
1087,27.3,20.5,0.7308
1304,25.8,24.1,0.7912
1625,25.3,28.9,0.9151
1649,23.8,33.7,0.9786
1443,21.4,36.0,0.9059
1209,19.8,39.5,0.9016
1105,19.2,42.1,0.9273
1020,18.8,45.8,0.9855
991,17.1,50.8,0.9828
937,16.2,53.4,0.9775
882,16.0,53.5,0.9691
843,14.3,59.2,0.9601
819,13.3,62.6,0.9498
834,13.4,59.5,0.9097
977,12.2,64.1,0.9062
1234,13.9,57.2,0.9029
1403,15.2,53.2,0.9107
1538,19.2,41.6,0.9154
1343,23.7,30.6,0.8854
1243,26.1,26.8,0.8921
1201,28.1,24.4,0.9138
1121,28.3,23.9,0.906
1087,28.0,21.0,0.7814
1165,30.8,16.4,0.7167
1224,31.3,16.2,0.7262
1431,29.4,20.5,0.8262
1433,25.8,24.3,0.794
1527,23.8,29.5,0.8559
1387,22.0,34.8,0.908
1158,20.2,37.4,0.8748
1009,19.3,38.8,0.8559
1026,17.9,43.7,0.8856
1119,17.2,47.9,0.9334
1000,16.3,49.7,0.916
866,16.7,46.5,0.8755
848,14.6,53.0,0.8775
844,14.1,53.9,0.8633
852,14.2,52.2,0.8413
923,14.3,55.4,0.9003
1490,14.0,58.0,0.9202
1662,15.4,53.3,0.9289
1553,19.1,42.1,0.9233
1423,23.7,31.0,0.8968
1458,26.9,25.7,0.8942
1349,29.7,20.6,0.8478
1326,29.2,21.5,0.8573
1356,29.6,20.1,0.8181
1460,30.0,19.4,0.81
1497,29.5,20.1,0.8136
1645,27.0,26.8,0.9403
1557,24.9,30.8,0.954
1747,23.1,36.7,1.0244
1482,21.5,40.8,1.0333
1211,20.5,41.5,0.9864
1294,19.2,44.9,0.9875
1300,18.8,47.7,1.0221
1402,18.2,49.7,1.0284
1349,16.1,57.4,1.0451
1161,16.3,55.3,1.0178
1022,15.7,53.6,0.9483
948,16.9,49.8,0.9514
933,14.8,57.7,0.9644
1021,14.0,59.7,0.9499
1134,14.6,56.8,0.9385
1311,16.7,51.9,0.9788
1409,20.0,45.0,1.039
1301,23.9,33.7,0.9837
1354,26.8,29.5,1.0209
1391,27.2,32.4,1.1493
1200,26.9,32.1,1.1217
1338,24.3,41.8,1.2561
1223,25.6,36.0,1.1629
1278,27.0,31.8,1.1176
1257,27.5,31.6,1.1417
1497,24.9,38.1,1.1838
1567,23.4,39.7,1.1276
1503,21.2,50.8,1.2631
1169,15.6,73.5,1.2953
1007,12.9,79.7,1.1774
1004,11.5,76.9,1.0436
967,12.2,66.8,0.9455
984,12.4,64.1,0.9209
931,12.7,58.7,0.8605
966,12.6,58.6,0.8529
777,12.5,51.2,0.7374
763,12.5,50.9,0.7346
804,12.8,49.3,0.7285
830,13.5,48.6,0.7487
833,14.4,45.9,0.7476
875,15.1,43.9,0.7487
882,16.6,38.6,0.7236
862,17.2,35.0,0.6789
863,17.4,33.9,0.6683
830,17.9,30.7,0.6234
807,18.3,27.2,0.5675
873,19.4,25.7,0.5738
931,20.2,24.1,0.563
918,19.6,24.9,0.5625
1001,18.5,27.8,0.5843
1169,17.8,30.3,0.6129
1085,16.6,34.0,0.6353
940,15.5,37.0,0.6447
1126,14.8,39.5,0.6595
978,14.5,42.0,0.6896
893,14.1,44.9,0.7206
838,14.2,45.5,0.7333
803,14.1,45.3,0.7247
775,14.0,44.3,0.7038
767,14.1,43.0,0.689
809,13.9,43.9,0.6923
898,14.0,43.8,0.6959
1053,14.4,43.6,0.7113
1033,15.0,41.7,0.7093
941,16.3,38.4,0.7052
941,18.3,32.3,0.676
917,18.8,31.7,0.6821
977,19.6,30.9,0.6968
994,20.2,30.7,0.7176
942,19.7,32.5,0.7396
981,20.7,31.6,0.7602
984,20.0,32.7,0.7545
1116,18.6,35.4,0.7535
1181,18.3,35.9,0.7501
1163,17.8,37.5,0.7568
1081,17.3,38.8,0.7584
1017,17.3,38.8,0.7596
966,16.4,40.8,0.7542
924,16.0,41.4,0.7487
861,15.4,43.0,0.7482
826,15.7,42.5,0.7539
846,15.6,43.4,0.7651
842,15.2,45.8,0.7864
909,14.7,49.9,0.828
930,15.5,47.3,0.8282
1120,14.4,53.1,0.8677
1518,15.9,48.5,0.8704
1461,18.1,40.3,0.8294
1075,19.6,35.9,0.81
1061,22.8,29.1,0.796
1066,24.8,25.3,0.7793
1179,27.2,22.0,0.7785
1251,28.2,20.4,0.7677
1120,25.4,24.2,0.7733
1187,25.7,23.8,0.7737
1145,27.2,22.1,0.7811
1215,27.0,22.3,0.786
1317,24.5,27.8,0.8433
1388,23.7,30.2,0.8718
1295,21.5,34.5,0.8746
1153,19.9,37.8,0.8675
1078,18.9,40.6,0.8771
1133,17.9,43.5,0.884
1055,17.4,46.3,0.9112
953,18.1,44.7,0.9186
892,16.5,50.1,0.9331
895,14.2,56.9,0.9141
859,14.7,56.2,0.9341
856,16.3,52.8,0.9722
1030,13.9,60.7,0.9597
1689,15.0,58.3,0.9876
1486,16.1,54.8,0.996
1592,19.3,46.4,1.0248
1469,24.2,33.8,1.0097
1364,26.7,28.7,0.9895
1285,27.4,28.2,1.0098
1311,28.1,26.9,1.0094
1416,27.7,26.5,0.9693
1387,28.4,23.4,0.8935
1329,28.4,26.0,0.9922
1496,27.3,30.0,1.0752
1676,24.3,37.3,1.1199
1724,23.1,42.2,1.1746
1642,21.8,43.6,1.1226
1267,19.8,46.8,1.0702
1146,19.6,49.8,1.1221
1216,17.9,56.2,1.142
1128,17.4,55.6,1.0963
1042,16.8,59.5,1.1269
926,15.9,60.1,1.0806
898,15.6,61.2,1.0784
889,14.6,63.4,1.0446
959,13.3,67.0,1.0203
1097,12.9,66.5,0.9846
1674,14.8,61.3,1.0237
1771,16.1,56.5,1.0274
1408,18.6,47.8,1.0143
1156,23.8,30.2,0.8771
1042,25.4,25.0,0.7966
1167,25.6,25.5,0.8234
1398,24.9,29.9,0.9325
1458,22.4,37.9,1.016
1554,21.7,44.0,1.1242
1495,21.4,44.4,1.1176
1560,20.8,45.3,1.1016
1664,20.2,48.6,1.1354
1761,20.2,50.8,1.1924
1524,18.6,57.6,1.2233
1398,18.2,58.8,1.2173
1342,17.8,61.0,1.2352
1433,17.0,70.7,1.3554
1297,16.2,76.9,1.4051
1179,15.7,78.6,1.3943
1097,15.7,78.4,1.3917
1054,15.7,77.4,1.3683
1017,15.4,78.5,1.3635
1005,15.7,74.7,1.3194
1206,15.9,73.1,1.3136
1458,16.6,68.2,1.2737
1405,18.7,57.6,1.2323
1381,17.6,65.0,1.2945
1315,16.3,73.2,1.3458
1332,16.0,78.5,1.4209
1362,17.3,72.4,1.4125
1399,19.4,60.9,1.3545
1310,21.4,50.9,1.2823
1399,22.7,45.8,1.2465
1524,20.9,60.8,1.4852
1487,21.0,54.3,1.3353
1480,20.8,54.4,1.3194
1626,19.8,58.6,1.3392
1449,19.1,61.1,1.3345
1363,18.2,65.4,1.3529
1371,18.1,66.1,1.3579
1406,17.7,66.9,1.3422
1425,17.8,66.8,1.346
1179,17.3,68.3,1.3346
1047,16.5,70.2,1.3099
1009,15.7,73.1,1.2902
882,16.2,69.9,1.2756
858,16.7,67.1,1.2619
875,16.7,66.9,1.2631
1012,16.9,66.5,1.2688
1049,17.7,62.0,1.2458
1131,19.4,54.6,1.2184
1120,21.6,46.1,1.1725
1117,24.6,36.7,1.1202
1110,26.0,31.9,1.0566
962,25.6,31.5,1.0184
963,24.8,34.8,1.0716
1050,26.1,30.3,1.0101
1053,25.5,33.5,1.0767
1045,23.7,37.2,1.0746
1124,22.3,38.9,1.0324
1330,20.7,42.8,1.0298
1171,19.0,51.7,1.1222
1085,17.8,55.5,1.1174
1358,17.4,57.6,1.1342
1385,17.6,58.5,1.1645
1167,17.2,59.3,1.1551
1072,17.1,60.4,1.1633
938,16.4,62.2,1.1507
1000,14.8,67.6,1.1352
854,14.8,65.8,1.1028
815,14.7,65.2,1.0811
866,13.1,70.2,1.0554
911,14.3,66.2,1.0728
988,16.0,61.6,1.1083
1046,17.7,56.4,1.1342
1085,21.3,44.7,1.1157
1008,23.6,36.4,1.0431
1004,24.3,34.0,1.0149
948,24.4,32.7,0.9863
1026,24.6,31.7,0.9647
1047,23.9,34.3,1.002
1018,25.9,28.1,0.9258
1160,24.5,32.3,0.9815
1269,22.6,39.3,1.06
1394,21.2,47.5,1.1828
1292,19.9,54.9,1.2632
1212,19.4,52.1,1.1642
1137,19.4,42.6,0.9485
1080,19.1,44.1,0.966
1031,18.0,49.3,1.0086
917,17.6,54.6,1.0918
888,16.4,62.1,1.1493
872,15.6,65.3,1.1484
876,16.0,61.4,1.1043
964,15.8,64.3,1.1416
1147,16.0,65.8,1.1844
1493,16.8,62.5,1.1869
1597,16.9,66.1,1.2613
1483,17.4,68.9,1.3557
1222,21.4,45.0,1.1291
1060,23.9,30.7,0.9002
1048,26.8,25.2,0.8721
1051,28.4,23.6,0.8983
998,30.3,20.1,0.8539
1058,30.9,19.7,0.8649
1203,30.2,20.5,0.8672
1491,26.4,34.6,1.1724
1467,24.9,39.4,1.2268
1407,23.5,43.7,1.2484
1324,19.3,63.1,1.4028
1214,18.7,64.6,1.3836
1016,19.5,57.1,1.2806
1135,18.9,62.5,1.3521
1065,18.4,65.8,1.3802
999,16.4,79.2,1.4681
911,16.1,80.0,1.4562
873,15.6,81.0,1.4302
881,15.6,81.0,1.4216
967,15.7,80.5,1.4236
1280,16.0,80.8,1.4602
1564,16.6,78.0,1.4572
1505,16.1,79.2,1.4398
1309,17.7,70.8,1.4171
1035,20.3,54.8,1.2867
1148,21.2,49.3,1.2271
1152,21.5,47.9,1.2178
1131,21.4,47.7,1.2047
1142,20.4,54.0,1.2757
1197,19.9,57.1,1.3158
960,19.9,55.2,1.2701
1077,19.5,55.7,1.2512
1377,18.3,62.8,1.3127
1405,17.2,68.3,1.3289
1484,16.1,75.2,1.3654
1187,16.6,70.8,1.3253
870,18.5,56.0,1.181
932,17.3,59.5,1.1667
830,18.6,52.3,1.1121
778,19.0,49.8,1.0831
820,15.7,64.5,1.14
842,15.5,66.9,1.1691
867,14.7,74.1,1.2302
927,14.6,77.1,1.2727
1060,14.5,78.3,1.2851
1440,15.1,76.8,1.3061
1449,16.4,70.8,1.3088
1384,16.4,72.4,1.3379
1172,16.3,68.6,1.2657
1143,17.2,62.9,1.2228
1167,17.4,61.1,1.206
1303,16.8,66.8,1.2691
1264,17.3,62.6,1.226
1242,17.5,60.8,1.2029
1070,17.5,59.2,1.1725
981,17.7,56.9,1.1392
1198,17.1,61.5,1.1873
1000,17.5,63.9,1.2667
1110,15.9,70.7,1.2672
1023,15.1,75.1,1.2799
861,13.9,72.5,1.1502
969,12.0,79.8,1.1175
898,12.5,75.8,1.0938
835,12.0,75.0,1.0499
766,12.6,72.2,1.0503
743,12.7,71.6,1.0486
758,13.1,67.1,1.0079
804,13.2,64.6,0.9774
948,13.1,65.6,0.9815
1204,14.7,58.5,0.9688
1231,15.9,53.1,0.9529
1176,17.9,46.1,0.9388
1043,20.2,37.7,0.8833
992,18.5,42.8,0.9026
885,13.0,64.3,0.9586
991,15.1,54.5,0.9309
1182,13.6,65.5,1.0184
1191,12.3,78.3,1.1154
1272,12.7,74.2,1.0863
1138,14.4,64.2,1.049
1008,15.6,58.3,1.0266
1075,15.0,61.4,1.0385
1034,13.7,65.8,1.0254
934,12.3,66.4,0.944
883,15.4,58.8,1.0215
1021,14.1,64.9,1.0405
1059,13.8,64.7,1.0168
1023,13.5,67.8,1.042
855,13.7,69.4,1.0794
826,13.9,67.7,1.0712
831,14.0,67.8,1.0787
817,14.6,61.1,1.0075
972,14.3,60.5,0.9847
1200,14.9,56.9,0.9582
1234,16.4,50.2,0.9286
1164,16.0,50.9,0.9211
976,18.6,42.8,0.9091
844,19.7,33.7,0.7646
851,21.2,27.7,0.6864
926,19.7,28.5,0.6445
890,19.8,29.7,0.678
921,19.2,35.6,0.7856
1052,14.2,60.5,0.9765
1247,12.9,69.1,1.0249
1205,12.7,70.4,1.0294
1016,13.9,62.7,0.9905
984,13.9,62.9,0.9948
1041,13.4,65.2,0.9996
1027,13.4,64.6,0.9864
1025,13.3,63.6,0.9677
984,13.3,61.8,0.9433
969,13.6,59.7,0.9271
758,14.6,53.3,0.8807
767,14.3,51.7,0.8412
772,10.9,67.5,0.8785
831,7.4,85.2,0.8808
871,8.7,81.5,0.919
995,10.3,75.6,0.9458
1093,11.0,75.0,0.9821
1079,13.6,66.1,1.0236
1084,14.7,63.1,1.0488
1204,13.8,72.3,1.1361
1213,13.3,76.8,1.1703
1124,16.2,60.0,1.0937
945,16.3,55.3,1.0146
964,20.0,40.4,0.9354
903,19.8,35.4,0.8099
918,19.8,33.6,0.767
1028,17.8,38.5,0.7763
1175,16.7,44.6,0.8393
1215,15.1,51.8,0.8816
1072,14.1,56.2,0.9028
1070,13.8,58.3,0.9147
1021,13.7,59.7,0.9285
1063,13.7,60.3,0.9405
1068,12.7,64.9,0.9506
993,12.6,65.4,0.9529
1034,12.1,68.6,0.964
1025,12.3,68.0,0.9722
1036,11.9,71.1,0.9899
924,11.3,73.8,0.9848
922,13.1,62.6,0.9419
830,16.8,46.8,0.8881
947,17.9,44.8,0.9104
977,17.8,49.5,0.9986
1025,18.8,46.4,0.9968
1040,19.3,44.0,0.9783
1013,14.7,68.4,1.1405
1035,15.6,65.8,1.1577
1086,17.7,54.0,1.0826
967,17.8,46.7,0.9466
968,17.8,44.4,0.8967
1004,17.8,44.3,0.8929
1132,16.4,47.8,0.8851
1121,15.6,51.6,0.9063
1068,14.9,55.0,0.9228
1123,13.8,59.8,0.9398
1101,13.8,62.1,0.9721
997,13.9,61.1,0.9656
875,14.9,57.6,0.9684
815,14.4,60.1,0.9797
803,13.8,63.2,0.9952
829,14.2,62.9,1.0136
867,14.0,63.8,1.0167
1118,13.4,67.4,1.0292
1632,14.7,62.3,1.0351
1598,16.0,57.3,1.0342
1378,17.8,51.1,1.0362
1132,20.0,45.0,1.0379
1108,20.3,44.1,1.0392
1131,20.7,42.4,1.0248
1105,20.8,40.6,0.9888
1120,21.5,39.7,1.0042
1100,25.0,30.1,0.9394
1098,25.2,29.7,0.9371
1137,23.4,32.0,0.91
1267,21.0,37.8,0.9298
1319,19.2,45.7,1.0084
1160,17.7,50.9,1.0232
1084,16.8,53.6,1.0167
1025,15.8,56.2,1.0033
953,16.0,56.5,1.0166
959,14.2,64.1,1.0346
834,15.0,59.8,1.0142
787,14.3,61.9,1.0031
799,12.8,66.0,0.969
807,11.4,70.5,0.9484
866,12.0,68.0,0.9547
1035,11.3,70.4,0.9443
1469,12.7,65.6,0.962
1553,14.5,59.8,0.9795
1513,17.5,49.8,0.9877
1395,21.9,35.2,0.9128
1209,23.5,29.5,0.8435
1142,24.3,29.8,0.8926
1140,23.8,31.7,0.9212
1105,24.2,31.2,0.9257
1131,26.5,27.2,0.9282
1162,25.7,28.4,0.9248
1336,26.3,27.5,0.9306
1533,24.4,31.6,0.9545
1650,23.1,35.3,0.9845
1535,21.1,40.2,0.997
1382,19.2,52.3,1.1516
1335,18.1,58.7,1.2072
1267,17.3,58.8,1.1494
1122,16.9,58.8,1.125
986,17.6,57.6,1.1484
966,15.6,63.9,1.1287
919,14.9,65.7,1.1073
872,15.6,62.2,1.0961
967,14.0,68.3,1.0884
1152,14.5,65.7,1.0804
1500,15.5,62.2,1.0875
1754,17.0,56.8,1.0909
1558,18.8,52.4,1.1285
1446,19.7,51.9,1.1796
1349,20.9,44.6,1.0872
1452,21.9,43.3,1.1265
1676,20.4,55.7,1.3205
1327,17.4,67.0,1.325
1248,17.1,64.0,1.2413
1250,17.3,61.1,1.1957
1222,17.7,56.3,1.13
1159,17.4,48.6,0.9559
1192,17.6,43.7,0.8698
1074,16.7,47.2,0.892
984,16.8,45.6,0.8636
970,16.1,52.0,0.946
987,15.5,57.1,0.996
1003,16.2,50.2,0.9156
933,16.4,50.5,0.938
859,16.2,52.8,0.9626
815,16.0,53.7,0.9723
792,16.2,53.0,0.9672
835,16.2,53.7,0.9799
975,15.9,55.3,0.991
1133,16.2,55.6,1.0151
1347,16.0,59.3,1.0711
1122,16.6,55.6,1.042
1152,17.4,51.8,1.022
1020,17.6,49.7,0.9944
1066,17.2,52.8,1.0236
1105,18.2,49.6,1.0268
1056,19.5,45.0,1.0114
1084,19.5,45.5,1.0189
1288,19.8,44.3,1.0104
1390,20.3,43.1,1.0114
1374,20.3,44.4,1.0457
1378,19.8,47.9,1.092
1428,19.1,52.3,1.1486
1336,18.2,54.7,1.1336
1234,17.8,55.0,1.1097
1300,17.5,56.4,1.1175
1246,17.3,57.8,1.1298
1141,16.8,57.5,1.0912
1014,16.3,57.0,1.0484
938,16.2,56.3,1.0262
988,15.5,59.9,1.0498
983,16.0,58.3,1.0481
1033,17.2,52.3,1.0169
1388,18.5,49.4,1.0397
1512,20.0,45.6,1.0524
1148,21.0,37.9,0.9313
1095,22.8,32.4,0.887
987,25.5,25.6,0.8218
984,25.9,23.6,0.7771
1072,27.7,20.8,0.7599
1048,27.1,21.6,0.7618
1042,28.4,20.2,0.7697
1113,28.1,21.9,0.8184
1146,27.6,22.3,0.8116
1239,25.2,24.3,0.7671
1302,24.6,25.1,0.7636
1181,23.1,27.2,0.7575
1068,22.0,28.6,0.7483
1135,20.8,34.5,0.8365
1121,20.4,35.3,0.8352
1131,19.1,38.3,0.8381
947,18.0,40.5,0.8271
935,17.4,43.4,0.8553
941,14.8,50.6,0.8489
867,14.6,51.4,0.8489
839,15.7,46.9,0.8329
873,15.3,49.7,0.8552
1065,16.0,47.4,0.8564
1187,17.6,43.3,0.8647
1249,20.3,37.4,0.8807
1157,23.1,30.3,0.8425
988,25.0,24.2,0.7568
1025,25.6,23.5,0.7611
997,25.5,22.6,0.7288
916,26.1,21.1,0.7023
965,28.2,19.4,0.7303
985,27.4,20.5,0.7379
1026,26.0,22.7,0.7532
1125,23.8,27.1,0.7858
1159,23.0,28.7,0.7976
1284,21.7,31.8,0.8191
1101,20.9,33.2,0.8098
1101,20.2,34.3,0.8017
1183,19.6,37.0,0.8325
1132,18.1,40.9,0.8441
998,17.0,43.3,0.8341
911,16.7,43.4,0.8193
875,15.9,44.7,0.8009
808,15.2,45.5,0.783
792,13.5,50.1,0.7706
822,14.2,49.9,0.8025
918,13.8,51.4,0.8059
975,16.3,45.1,0.8286
1047,19.2,35.4,0.7812
1053,25.5,21.1,0.677
1017,28.2,19.0,0.7164
1021,29.5,19.8,0.8013
941,30.6,19.4,0.8348
991,29.9,22.0,0.9181
1117,31.5,21.9,0.997
1217,31.2,24.6,1.0987
1248,30.4,26.5,1.1347
1242,26.8,33.5,1.1602
1403,25.5,37.4,1.1995
1238,23.7,39.4,1.1381
1093,22.9,37.0,1.0197
1034,20.8,36.3,0.8775
934,20.3,28.5,0.6686
913,19.6,26.5,0.5974
835,19.1,25.9,0.5673
773,18.4,27.6,0.5799
771,17.4,30.2,0.5945
805,16.3,34.1,0.6257
930,15.8,36.5,0.6535
1009,16.0,38.1,0.6879
1196,17.6,35.0,0.6965
1010,18.5,31.2,0.6611
990,19.8,28.5,0.652
988,22.3,24.1,0.6394
979,24.2,21.7,0.6451
1029,25.1,20.8,0.6516
984,25.8,19.5,0.6392
985,26.3,18.9,0.6344
981,25.8,18.6,0.608
1020,25.7,19.4,0.6304
1106,26.7,17.1,0.5909
1153,24.3,19.8,0.5933
1215,23.5,20.8,0.5937
1094,22.0,24.0,0.6263
944,21.1,26.2,0.6481
964,20.9,28.8,0.7014
1003,20.2,31.2,0.7304
914,20.0,31.5,0.7262
839,20.8,32.3,0.7813
830,20.0,34.5,0.7954
812,21.2,32.9,0.8178
832,18.3,40.0,0.8345
903,17.0,44.6,0.8593
1022,17.1,45.3,0.8784
1378,17.1,46.5,0.901
1745,18.8,39.7,0.8547
1326,20.3,38.1,0.8946
1215,25.3,27.0,0.8565
1138,27.4,22.8,0.8219
1244,30.0,20.0,0.8338
1261,30.9,19.1,0.8394
1182,30.6,20.2,0.8719
1208,32.2,18.9,0.8964
1158,31.7,19.5,0.8981
1346,30.9,20.5,0.8996
1443,27.5,24.7,0.8899
1440,25.8,27.0,0.8821
1232,23.7,30.0,0.8633
1159,22.2,33.4,0.8806
1081,21.1,36.5,0.9019
1083,20.2,38.6,0.9016
1069,19.3,43.0,0.9535
940,19.2,43.6,0.9591
901,18.4,45.7,0.9599
848,18.7,44.3,0.9453
846,16.3,51.4,0.9468
848,17.0,49.2,0.9459
980,16.4,52.1,0.9612
1408,16.4,53.4,0.9863
1716,18.6,46.8,0.99
1475,21.0,41.1,1.0104
1262,26.4,28.9,0.9785
1156,27.7,26.3,0.9652
1192,30.1,22.1,0.9281
1233,31.0,22.9,1.0144
1208,31.0,22.6,1.0012
1215,31.6,21.0,0.959
1251,30.4,24.7,1.0526
1358,28.8,26.3,1.0271
1379,26.4,30.1,1.0204
1379,24.7,31.5,0.9672
1373,22.9,36.5,1.0083
1197,20.8,41.8,1.0155
1238,19.7,47.1,1.0666
1255,18.9,52.2,1.1313
1164,18.5,50.1,1.0539
1046,18.0,53.0,1.0832
956,18.4,51.7,1.0819
885,19.8,46.2,1.056
877,19.6,47.7,1.0736
925,17.3,54.1,1.0582
1086,15.8,59.0,1.0495
1490,16.6,55.9,1.0486
1763,18.7,52.8,1.1279
1462,20.7,46.4,1.1227
1232,26.1,30.0,0.9972
1239,28.6,25.8,0.9989
1218,30.3,23.3,0.9869
1235,31.3,22.3,1.0043
1196,31.1,22.3,0.9888
1288,32.4,20.4,0.9732
1248,32.6,19.3,0.935
1401,31.2,20.3,0.9064
1401,27.7,24.8,0.9106
1444,25.7,27.9,0.908
1379,24.1,29.9,0.8879
1251,22.2,34.4,0.9072
1269,20.7,38.0,0.9149
1242,20.2,42.8,0.9983
1045,20.5,42.0,1.0004
937,20.1,42.0,0.9763
875,20.0,41.5,0.9571
889,16.3,51.6,0.9461
888,16.5,50.2,0.932
881,16.4,50.2,0.931
998,14.9,54.7,0.9203
1517,16.4,51.3,0.9474
1522,18.2,46.2,0.9575
1417,20.7,40.0,0.9639
1329,26.5,27.0,0.9217
1203,28.5,23.8,0.915
1234,29.7,23.7,0.9714
1286,31.7,21.7,0.9966
1298,31.7,21.5,0.9902
1308,32.8,19.5,0.9515
1276,32.5,18.6,0.8948
1234,30.2,22.6,0.9524
1419,27.6,25.7,0.9382
1325,25.9,24.9,0.8195
1346,23.9,29.4,0.8589
1241,22.3,32.1,0.8515
1274,20.5,35.9,0.8565
1321,19.8,37.2,0.8509
1424,19.1,41.9,0.9158
1357,17.8,46.1,0.9344
1123,17.6,47.6,0.9465
1003,17.9,46.3,0.9394
951,16.9,49.8,0.9544
941,15.8,53.8,0.9615
986,16.5,53.5,0.9928
1153,17.2,52.9,1.0276
1323,19.3,48.3,1.0723
1315,20.6,47.1,1.1287
1303,23.7,40.0,1.153
1238,25.6,32.5,1.053
1259,27.2,28.1,0.9989
1246,27.9,28.1,1.0394
1154,28.3,27.8,1.0539
1237,29.2,27.0,1.081
1315,28.9,29.3,1.1503
1466,25.4,39.8,1.2771
1409,25.2,40.1,1.2642
1366,24.5,39.4,1.1963
1241,22.3,45.4,1.2088
1123,21.2,48.3,1.2034
1321,20.6,50.5,1.2082
1397,20.2,52.9,1.234
1507,19.8,54.5,1.2488
1405,19.5,56.2,1.2624
1192,19.0,58.0,1.2581
1199,18.1,61.6,1.2679
973,18.0,57.6,1.1788
864,17.7,56.0,1.1215
886,17.9,52.4,1.0655
988,18.9,49.3,1.0668
1008,20.0,48.6,1.1199
976,20.6,41.2,0.9841
978,23.6,34.0,0.9749
987,26.7,28.1,0.9688
1030,26.8,28.1,0.9785
955,27.7,25.8,0.9467
924,28.8,22.7,0.8864
1005,26.8,27.3,0.9462
1059,25.9,28.7,0.9423
1079,25.8,27.7,0.9076
1070,24.8,29.5,0.9077
1085,25.3,36.3,1.1513
1066,23.9,40.4,1.1787
1094,21.4,46.6,1.1764
1110,20.5,49.3,1.173
968,19.2,42.3,0.9339
906,19.2,37.9,0.8352
849,17.2,43.1,0.8394
774,15.8,45.2,0.8052
746,15.7,42.3,0.7464
753,16.3,41.0,0.7513
749,16.1,36.5,0.664
864,16.5,36.2,0.6752
1002,17.5,30.9,0.6111
970,18.4,24.0,0.5046
898,19.2,23.8,0.5235
847,21.7,18.1,0.4642
847,22.3,17.0,0.4513
871,22.8,16.1,0.4404
869,23.8,14.5,0.4222
875,25.1,13.1,0.4129
895,25.8,12.9,0.4219
926,25.5,14.0,0.4495
996,24.5,15.4,0.4663
997,22.6,17.2,0.4656
1006,21.2,18.9,0.471
895,19.1,22.8,0.501
862,18.4,24.6,0.5169
858,17.3,25.6,0.5032
853,16.5,24.9,0.4642
859,16.7,28.3,0.5316
837,15.5,32.2,0.5641
746,17.5,29.1,0.5773
752,13.3,35.6,0.5393
742,14.0,33.7,0.5355
774,11.6,40.0,0.5462
798,13.4,34.5,0.5272
1002,15.2,31.0,0.5329
1210,16.3,27.5,0.5066
